tweet_id,timestamp,source,rating_numerator,rating_denominator,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_counts,favorite_counts,dog_stage
669000397445533696,2015-11-24 03:51:38,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUjETvDVAAI8LIy.jpg,Pembroke,0.82294,True,Cardigan,0.177035,True,basenji,2.33526e-05,True,5502,18640,
668989615043424256,2015-11-24 03:08:48,Twitter for iPhone,3,10,https://pbs.twimg.com/media/CUi6geuUYAIvE9n.jpg,pug,0.917326,True,waffle_iron,0.014917500000000004,False,Chihuahua,0.0135244,True,288,593,
668979806671884288,2015-11-24 02:29:49,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUixld6WoAArDrJ.jpg,golden_retriever,0.608537,True,Irish_setter,0.097078,True,redbone,0.0760222,True,292,700,
668975677807423489,2015-11-24 02:13:25,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUit1O1WoAEBHjj.jpg,basset,0.605437,True,Welsh_springer_spaniel,0.184783,True,Saint_Bernard,0.116299,True,495,1151,
668955713004314625,2015-11-24 00:54:05,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUibq3uVAAAup_O.jpg,cocker_spaniel,0.367492,True,Lakeland_terrier,0.272621,True,soft-coated_wheaten_terrier,0.0670063,True,63,241,
668932921458302977,2015-11-23 23:23:31,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUiG6_ZXAAAPaw_.jpg,standard_poodle,0.237638,True,Old_English_sheepdog,0.195573,True,toy_poodle,0.14465799999999998,True,50,227,
668902994700836864,2015-11-23 21:24:36,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUhruUgUAAAa8FQ.jpg,Brittany_spaniel,0.828425,True,Ibizan_hound,0.043082,True,Blenheim_spaniel,0.0280036,True,87,275,
668892474547511297,2015-11-23 20:42:48,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUhiJ63WEAAw2qm.jpg,kelpie,0.421979,True,collie,0.22706,True,Cardigan,0.168211,True,126,354,
668852170888998912,2015-11-23 18:02:38,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUg9gBvWoAAmx-2.jpg,golden_retriever,0.903529,True,Tibetan_mastiff,0.041497000000000006,True,kuvasz,0.0225005,True,139,409,
668826086256599040,2015-11-23 16:18:59,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUglxbFXAAA5O0d.jpg,malinois,0.640185,True,Irish_terrier,0.1537,True,Rhodesian_ridgeback,0.0684565,True,112,381,
668815180734689280,2015-11-23 15:35:39,Twitter for iPhone,7,10,https://pbs.twimg.com/media/CUgb21RXIAAlff7.jpg,redbone,0.461172,True,Italian_greyhound,0.270733,True,miniature_pinscher,0.109752,True,225,491,
668779399630725120,2015-11-23 13:13:28,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUf7UIaWUAEuKFr.jpg,Chesapeake_Bay_retriever,0.285508,True,Weimaraner,0.146832,True,black-footed_ferret,0.0608648,False,325,627,
668655139528511488,2015-11-23 04:59:42,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUeKTeYW4AEr_lx.jpg,beagle,0.31911,True,Italian_greyhound,0.103338,True,basenji,0.09193,True,187,468,
668636665813057536,2015-11-23 03:46:18,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUd5gBGWwAA0IVA.jpg,komondor,0.999956,True,llama,4.3098100000000013e-05,False,ram,2.1609e-07,False,435,915,
668633411083464705,2015-11-23 03:33:22,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUd2ieCUcAAexyT.jpg,Pekinese,0.589011,True,Shih-Tzu,0.390987,True,Japanese_spaniel,0.00331035,True,1376,2454,
668631377374486528,2015-11-23 03:25:17,Twitter for iPhone,5,10,https://pbs.twimg.com/media/CUd0sSvWsAA85wO.jpg,miniature_schnauzer,0.904549,True,Australian_terrier,0.0225294,True,silky_terrier,0.015243200000000004,True,280,616,
668627278264475648,2015-11-23 03:09:00,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUdw9thWsAA4mB9.jpg,French_bulldog,0.965403,True,pug,0.00860381,True,Boston_bull,0.00800356,True,97,281,
668623201287675904,2015-11-23 02:52:48,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUdtP1xUYAIeBnE.jpg,Chihuahua,0.708163,True,Pomeranian,0.0913719,True,titi,0.0673255,False,653,1242,
668567822092664832,2015-11-22 23:12:44,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUc64knWoAkZt70.jpg,Shih-Tzu,0.985649,True,Lhasa,0.00707832,True,Pekinese,0.00305323,True,46,206,
668542336805281792,2015-11-22 21:31:28,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUcjtL8WUAAAJoz.jpg,American_Staffordshire_terrier,0.267695,True,French_bulldog,0.25405,True,Staffordshire_bullterrier,0.212381,True,181,402,
668537837512433665,2015-11-22 21:13:35,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUcfnWlWsAAzlwE.jpg,Lakeland_terrier,0.372988,True,toy_poodle,0.250445,True,Chihuahua,0.189737,True,61,226,
668528771708952576,2015-11-22 20:37:34,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUcXXpxWUAAUJ__.jpg,Labrador_retriever,0.195835,True,kuvasz,0.121607,True,English_setter,0.08146439999999999,True,189,402,
668507509523615744,2015-11-22 19:13:05,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUcECBYWcAAzFRg.jpg,basenji,0.0553794,True,Shetland_sheepdog,0.0543221,True,whippet,0.0519134,True,87,277,
668496999348633600,2015-11-22 18:31:19,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUb6ebKWcAAJkd0.jpg,Staffordshire_bullterrier,0.412879,True,miniature_pinscher,0.16148800000000002,True,American_Staffordshire_terrier,0.112495,True,114,358,
668484198282485761,2015-11-22 17:40:27,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUbu1GAWsAEH3E-.jpg,standard_poodle,0.587372,True,Bedlington_terrier,0.182411,True,Afghan_hound,0.040968,True,207,371,
668286279830867968,2015-11-22 04:33:59,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUY60usWoAAdBxx.jpg,golden_retriever,0.215944,True,basset,0.189214,True,Cardigan,0.11301,True,116,434,
668274247790391296,2015-11-22 03:46:11,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUYv4d2WUAAziXs.jpg,soft-coated_wheaten_terrier,0.406374,True,Lakeland_terrier,0.263854,True,toy_poodle,0.150844,True,196,719,
668268907921326080,2015-11-22 03:24:58,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUYrBNQUkAA-zx4.jpg,Pembroke,0.48483,True,Cardigan,0.425303,True,basenji,0.0147535,True,206,482,
668248472370458624,2015-11-22 02:03:45,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUYYcMfXAAAixe7.jpg,Chihuahua,0.7345470000000001,True,miniature_pinscher,0.06829439999999999,True,toy_terrier,0.0463671,True,406,838,
668237644992782336,2015-11-22 01:20:44,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUYOl0kW4AAVe_p.jpg,chow,0.8093199999999999,True,minivan,0.07131069999999999,False,Pekinese,0.0378696,True,2412,5427,
668221241640230912,2015-11-22 00:15:33,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUX_rAyWsAYZOQ5.jpg,chow,0.395101,True,golden_retriever,0.372115,True,Labrador_retriever,0.148785,True,168,450,
668204964695683073,2015-11-21 23:10:52,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUXw3qHWoAAk8HJ.jpg,Labrador_retriever,0.65518,True,golden_retriever,0.107884,True,Chesapeake_Bay_retriever,0.0658347,True,171,487,
